Code,Title,points_r1_2021,points_r1_2020,points_r1_2019
MI014,Education  Matheics and Business Studies,476,,
CI110,Counselling and Psychotherapy,292,,
CI111,Counselling and Psychotherapy with Addiction Studi,290,,
CI112,Counselling and Psychotherapy with Youth Studies,325,,
LC110,Art and Design (Common Entry  portfolio),794,,734
LC114,Fashion and Textiles for Product and Costume (port,914,,900
LC115,Art and Design Teacher Education (LIT and UL  port,993,,
LC220,Digital Marketing,263,,254
LC223,Law and Taxation,331,,308
LC224,Accounting and Finance,300,,299
LC225,Marketing and Management,298,,298
LC226,Enterprise and Innovation,255,,216
LC233,Software Development,280,,300
LC234,Immersive Digital Media and Spatial Computing,226,,219
LC236,Internet Systems Development,260,,298
LC239,Computer Networks and Systems Management,317,,335
LC241,Construction Management,326,,276
LC242,Property Valuation and Management,308,,292
LC243,Quantity Surveying,278,,281
LC248,Built Environment (Common Entry),300,,307
LC252,Civil Engineering Management,264,,281
LC263,Medical Technology,391,,282
LC265,Forensic and Pharmaceutical Sciences,498,,335
LC266,Drug and Medicinal Product Analysis,252,,236
LC275,Electrical Engineering,361,,288
LC288,Mechanical Engineering,378,,307
LC289,Precision Engineering,261,,280
LC292,Social Care Work,374,,360
LC293,Business Studies with Travel and Tourism Managemen,271,,299
LC294,Business Studies with Event Management,279,,271
LC295,Business Studies with Sports Management,262,,263
LC297,Community and Addiction Studies,272,,217
LC320,Business,381,,337
LC330,Business with Computing,328,,298
LC340,Interior Design,391,,298
LC362,Biotechnology and Biopharmaceutical Sciences,429,,379
LC371,Creative Broadcast and Film Production,325,,298
LC372,Music Technology and Production,377,,321
LC374,Renewable and Electrical Energy Engineering,337,,317
LC375,Industrial Autoion and Robotic Systems,309,,321
LC376,Electronic Engineering with Computer Systems,357,,308
LC380,Automotive Engineering and Transport Management,298,,282
LC392,Business Studies in Beauty and Spa Management,328,,217
LC393,Early Childhood Education and Care,309,,260
LC402,Social Care Work,228,,209
LC408,Environmental Science and Clie,279,,262
LC416,Business,260,,
LC418,Computing - Games Design and Development,260,,271
LC422,Applied Strength and Conditioning,289,,288
LC502,Game Art and Design (portfolio),841,,838
LC517,Creative Media and Design,279,,229
LC518,Digital Aniion Production (portfolio),807,,816
LC612,Social Care Work,309,,319
LM002,Arts,360,,329
LM019,Social Sciences,451,,
LM020,Law and Accounting,474,,436
LM026,Performing Arts (audition for TBC),329,,307
LM028,Criminal Justice,420,,387
LM029,Law Plus,530,,473
LM038,Psychology and Sociology,530,,478
LM039,Journalism and Digital Communication,432,,388
LM040,European Studies,409,,350
LM044,Applied Languages,429,,404
LM050,Business Studies (options),451,,419
LM056,International Business,555,,511
LM058,Financial Matheics,468,,434
LM063,Technology Management,410,,372
LM066,Environmental Science,430,,
LM068,Food Science and Health,464,,400
LM076,Product Design and Technology (portfolio required),401,,402
LM077,Aeronautical Engineering,567,,469
LM082,Construction Management and Engineering,446,,368
LM089,Sport and Exercise Sciences,498,,441
LM090,Physical Education with concurrent Teacher Educati,552,,498
LM091,Languages with concurrent Teacher Education,506,,
LM092,Science with Teacher Ed (Biology with Physics/Chem,521,,478
LM093,Equine Science,367,,338
LM094,Materials and Architectural Technology with concur,475,,405
LM095,Materials and Engineering Technology with concurre,425,,358
LM096,Science with Teacher Ed (Physical Sciences with Ch,454,,382
LM097,Matheics and Computer Science with concurrent T,465,,
LM099,Architecture,520,,419
LM100,Physiotherapy,613,,565
LM101,Medicine  - Graduate Entry (GAMSAT required),57,,55
LM102,Psychology,534,,495
LM103,Paramedic Studies (Full B/Provisional C1 Drivers L,429,,313
LM105,Exercise and Health Fitness Management,441,,
LM115,Chemical and Biochemical Engineering,476,,456
LM116,Engineering (Biomedical/Civil/Design and Manufactu,498,,434
LM118,Electronic and Computer Engineering,445,,401
LM121,Computer Science (Computer Systems/Games Dev/Cyber,402,,352
LM122,Creative Media and Interaction Design (Digital Des,382,,330
LM123,Biological and Chemical Sc. (Biosci/Envir Sci/Ind,498,,412
LM124,Matheics (Math Science/Maths and Physics/Econom,455,,427
LM125,Physics (Applied Physics or Matheics and Physic,489,,405
LM150,General Nursing,498,,440
LM152,Mental Health Nursing,478,,388
LM154,Intellectual Disability Nursing,462,,381
LM156,Midwifery,521,,429
MU001,Theology and Arts,294,,290
MU002,Theology,,,292
MH001,Education - Primary Teaching (Froebel),564,,496
MH002,Education - Primary Teaching - Gaeltacht Applicant,,,441
MH003,Early Childhood - Teaching and Learning (full-time,381,,
MH101,Arts,338,,316
MH103,Music,,,
MH106,Psychology - 3 years,554,,495
MH107,Social Science,390,,326
MH109,Media Studies,324,,317
MH116,Community and Youth Work (Full-Time),,,
MH201,Science,401,,350
MH202,Biotechnology,490,,429
MH203,Biological and Geographical Sciences,451,,
MH204,Physics with Astrophysics,422,,420
MH206,Theoretical Physics and Matheics,521,,498
MH207,Data Science,444,,434
MH208,Biological and Biomedical Sciences,543,,451
MH209,Psychology (through Science) - 4 years,529,,473
MH210,Pharmaceutical and Biomedical Chemistry,510,,446
MH212,Science|Maths and Computer Science|Matheics (wi,452,,444
MH304,Engineering (Computer/Electronic/Communications),351,,371
MH305,Product Design,326,,358
MH306,Robotics and Intelligent Devices,362,,361
MH401,Finance (options),370,,352
MH402,Quantitative Finance,476,,476
MH403,Accounting and Finance,424,,402
MH404,Business (options),441,,400
MH407,Business and Accounting,423,,401
MH411,Entrepreneurship,378,,358
MH501,LLB Law - four year Single Major Law programme,507,,451
MH502,Law (options),465,,410
MH601,Computer Science through Arts (options),381,,342
MH602,Computer Science through Science (options),400,,357
MH603,Computational Thinking,520,,520
MH801,Early Childhood - Teaching and Learning (part-time,,,347
MH802,Community and Youth Work (part-time  in service),,,
MH803,Local Studies/Community Studies (part-time  evenin,,,
AS001,Education  Home Economics and Biology - with concu,542,,456
AS002,Education  Home Economics and Religious Ed - with,464,,400
AS003,Education  Home Economics and Irish - with concurr,463,,421
AS051,Nutrition  Food and Business Management,378,,337
AS054,Home Economics,440,,387
AS110,General Nursing,440,,391
AS130,Intellectual Disability Nursing,387,,317
SG141,Business,262,,252
SG145,Business and ICT,279,,
SG146,Accounting,304,,307
SG147,Sport with Business,288,,269
SG148,Tourism with Event Management,298,,246
SG150,Business in Marketing,298,,
SG241,Performing Arts,341,,279
SG242,Early Childhood Care and Education,287,,278
SG243,Social Care Practice,309,,297
SG244,Fine Art,501,,355
SG245,Creative Design,332,,261
SG246,Computing,316,,295
SG247,English and Psychology,319,,308
SG248,Sociology and Politics,298,,282
SG249,Writing and Literature,308,,279
SG252,Software Development,310,,300
SG253,Computing in Computer Networks and Cyber Security,336,,273
SG254,Writing and Literature Online,327,,
SG255,Law and Business,291,,
SG341,General Engineering,373,,
SG342,Civil Engineering,418,,
SG343,Quantity Surveying,300,,261
SG344,Mechanical Engineering,412,,
SG346,Construction Project Management and Applied Techno,313,,289
SG347,Architecture,403,,309
SG348,Interior Architecture and Design,359,,
SG349,Electronics and Self Driving Technologies,,,
SG350,Robotics and Autoion,384,,
SG442,Occupational Safety and Health,307,,289
SG443,Human Nutrition,376,,357
SG444,Science Undenominated,358,,308
SG445,Pharmaceutical Science with Drug Development,357,,347
SG447,Health Science and Physical Activity,326,,316
SG448,Forensic Investigation and Analysis,308,,306
SG449,Medical Biotechnology,315,,329
SG450,Environmental Science with Ecology (Level 8),310,,
TL801,Aniion  Visual Effects and Motion Design (Level,718,,281
TL802,TV  Radio and New Media (Level 8),322,,306
TL810,Computing with Software Development,308,,309
TL811,Computing with Games Development,322,,310
TL815,Computing (Degree Award options),307,,308
TL823,Event Management (3 year programme),293,,291
TL831,Business Studies (Major Specialism in: Acctng or M,306,,307
TL842,Construction Management,,,
TL844,Agricultural Engineering,301,,311
TL845,Civil Engineering,361,,300
TL847,Manufacturing Engineering,305,,
TL848,Agricultural Science,307,,331
TL851,Wildlife Biology (Degree Award options),309,,310
TL855,Pharmaceutical Science (Degree Award options),316,,342
TL858,Veterinary Bioscience,317,,326
TL871,Health and Leisure (Degree Award options),303,,303
TL872,Health and Leisure with Massage,314,,288
TL873,Coaching and Sports Performance,308,,282
TL874,Inclusive Sport and Physical Activity,341,,
TL880,Early Childhood Care and Education,309,,307
TL881,Social Care,301,,308
TL889,Counselling with Addiction - Mature applicants onl,,,
TL890,General Nursing and Mature Applicants,463,,407
TL891,Mental Health Nursing and Mature Applicants,440,,367
WD001,Applied Computing (options),270,,279
WD002,Science (options),279,,302
WD005,Health Sciences (options),271,,288
WD006,Exercise Sciences (options),270,,282
WD007,Engineering (options),270,,287
WD025,Construction Management and Engineering,262,,269
WD027,Music,321,,290
WD048,Business (options),279,,278
WD084,Accounting,308,,307
WD091,Hospitality Management,225,,210
WD116,General Nursing,446,,413
WD117,Psychiatric Nursing,415,,361
WD120,Intellectual Disability Nursing,390,,338
WD134,International Business,267,,289
WD137,Design (Visual Communications),252,,253
WD140,Laws,280,,290
WD144,Architecture,309,,283
WD147,Pharmaceutical Science,288,,298
WD150,Criminal Justice Studies,280,,271
WD152,Visual Art,243,,253
WD161,Computer Forensics and Security,270,,262
WD162,Quantity Surveying,226,,260
WD163,Psychology,456,,390
WD186,Sports Coaching and Performance,261,,276
WD187,Social Science,276,,271
WD191,Agricultural Science,377,,378
WD192,Social Care Practice,271,,279
WD193,Marketing and Digital Media,279,,290
WD194,Culinary Arts,237,,235
WD195,Architectural and Building Inforion Modelling T,279,,266
WD200,Arts (options),201,,221
WD210,Software Systems Development,260,,271
WD211,Creative Computing,270,,275
WD212,Recreation and Sport Management,262,,274
WD230,Mechanical and Manufacturing Engineering,230,,273
WD231,Early Childhood Care and Education,266,,
WD232,Business Inforion Systems,261,,
AL600,Software Design,,,
AL601,Computer Engineering,,,
AL602,Mechanical Engineering,,,
AL604,Civil Engineering,,,
AL605,Music and Instrument Technology,,,
AL630,Pharmacy Technician,,,
AL631,Dental Nursing,,,
AL632,Applied Science,,,
AL650,Business,,,
AL660,Culinary Arts,,,
AL661,Bar Supervision,,,
AL663,Business (Sport and Recreation),,,
AL701,Computer Engineering with Network Infrastructure,,,
AL702,Software Design with Artificial Intelligence for Cloud Computing,,,
AL703,Software Design with Virtual Reality and Gaming,,,
AL704,Computer Engineering,,,
AL705,Software Design with Mobile Apps and Connected Devices,,,
AL710,Mechanical Engineering,,,
AL711,Mechanical Engineering and Renewable Energy,,,
AL712,Autoion and Robotics,,,
AL713,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng),,,
AL718,Music and Sound Engineering,,,
AL721,Civil Engineering,,,
AL730,Biotechnology,,,
AL731,Veterinary Nursing,,,
AL734,Pharmaceutical Sciences (Drug Development and Analysis),,,
AL740,Exercise and Health Science,,,
AL751,Digital Marketing,,,
AL752,Business,,,
AL761,Hotel and Leisure Management,,,
AL763,Graphic Design (portfolio),,,
AL764,Early Years Care and Education,,,
AL765,Applied Social Studies in Social Care,,,
CI001,Counselling Skills and Psychotherapy Studies,,,
CI002,Counselling Skills and Addiction Studies,,,
CI005,Counselling Skills and Youth Studies,,,
CR001,Applied Physics and Instrumentation,,,
CR006,Applied Biosciences,,,
CR007,Analytical and Pharmaceutical Chemistry,,,
CR010,Agriculture (Year 1 - 2 days in Clonakilty Agri College & 3 days in CIT),,,
CR016,Software Development,,,
CR021,Business (Common Entry),,,
CR022,Business Administration,,,
CR031,Social Care Work,,,
CR032,Recreation and Leisure Management,,,
CR035,Community Development,,,
CR041,Tourism Management,,,
CR042,Hospitality Management,,,
CR046,Automotive Technology and Management,,,
CR051,Civil Engineering,,,
CR052,Construction,,,
CR053,Interior Architecture,,,
CR055,Environmental Engineering,,,
CR061,Electronic Engineering,,,
CR062,Electrical Engineering,,,
CR071,Mechanical Engineering,,,
CR075,Biomedical Engineering,,,
CR090,Architectural Technology,,,
CR094,Nautical Science at National Maritime College of Ireland,,,
CR095,Marine Engineering at National Maritime College of Ireland,,,
CR126,Popular Music: Drums at CIT Cork School of Music,,,878
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,,,584
CR128,Popular Music: Keyboards at CIT Cork School of Music,,,839
CR129,Popular Music: Voice at CIT Cork School of Music,,,857
CR300,Physical Sciences (Common Entry),,,
CR620,Early Childhood Education and Care,,,
CR640,Culinary Arts,,,
CR650,Beverage Industry Management,,,
CR655,Culinary Studies,,,
CR657,Hospitality Studies,,,
CR805,Marine Electrotechnology at National Maritime College of Ireland,,,
CR888,Inforion Technology,,,
CT110,Computing in Inforion Technology,,,
CT116,Inforion Technology,,,
CW006,Business,,,
CW027,Sustainable Farm Management and Agribusiness,,,
CW037,Business (options),,,
CW047,Visual Communications and Design,,,
CW057,Art (portfolio),,,
CW077,Tourism and Event Management,,,
CW106,Physiology and Health Science,,,
CW107,Analytical Science,,,
CW116,Pharmacy Technician Studies,,,
CW117,Biosciences,,,
CW126,Science - Applied Biology or Applied Chemistry,,,
CW206,Computing - Applications or Programming,,,
CW207,Software Development,,,
CW217,Inforion Technology Management,,,
CW227,Cybercrime and IT Security,,,
CW237,Computing in Interactive Digital Art and Design,,,
CW407,Architectural Technology,,,
CW417,Construction Management with Building Services,,,
CW427,Civil Engineering,,,
CW507,Aircraft Systems,,,
CW517,Mechanical Engineering,,,
CW527,Electronic Engineering,,,
CW547,TV and Media Production,,,
CW706,Legal Studies,,,
CW707,Industrial Design,,,
CW717,Professional Social Care Practice,,,
CW807,Sport Coaching and Business Management - GAA (portfolio),,,
CW817,Sport Coaching and Business Management - Rugby (portfolio),,,
CW827,Sport Coaching and Business Management - Soccer (portfolio),,,
CW837,Digital Marketing with Analytics,,,
CW906,Business,,,
CW917,Business (options),,,
CW926,Business with Law,,,
CW936,Accounting,,,
DB516,Financial Services,,,328
DB528,Applied Social Care,,,
DB534,Sound Engineering and Music Production,,,
DB563,Arts,,,
DB571,Business Studies,,,
DB572,Business in Accounting,,,
DB573,Business in Marketing,,,
DB574,Business in Inforion Technology,,,
DB576,Film and Creative Media,,,
DC201,Common Entry into Science (Undenominated Entry),,,454
DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",,,
DK710,Business and Management,,,
DK711,Business and Technology,,,
DK712,Digital Marketing and Public Relations,,,
DK721,Computing,,,
DK722,Augmented and Virtual Reality,,,
DK730,Building Surveying,,,
DK731,Architectural Technology,,,
DK732,Construction Management,,,
DK740,Engineering - Electrical and Electronic Systems,,,
DK742,Engineering - Mechanical Engineering,,,
DK744,Engineering - Civil Engineering,,,
DK750,Hospitality Management,,,
DK752,Event Management,,,
DK753,Culinary Arts,,,
DK763,"Sport, Exercise and Enterprise",,,
DK767,Community Youth Work (interview),,,
DK768,Audio and Music Production,,,
DK769,Creative Media,,,
DK770,Theatre & Film Practice,,,
DK771,Musical Theatre (audition),,,
DK781,Science - Bioscience,,,
DK783,Science - Pharmaceutical Science,,,
DK784,Veterinary Nursing,,,
DK860,Music (audition),,,499
DL701,Business - Applied Entrepreneurship,,,
DL821,"English, Media and Cultural Studies",,,211
DL828,"3D Design, Modelmaking and Digital Art",,,691
DL829,Design for Stage and Screen (Costume Design),,,817
DL830,Design for Stage and Screen (Character Makeup Design),,,879
DL831,Design for Stage and Screen (Production Design),,,893
DL834,Film and Television Production,,,933
DN252,Dairy Business,,,398
DN253,Agri - Environmental Sciences,,,403
DN271,Forestry,,,303
DN272,"Horticulture, Landscape and Sportsturf Management",,,252
DS602,Computing and Multimedia (Level 6 - Higher Certificate),,,
DS603,Computing and Multimedia (Level 6 - Certificate),,,
DS701,Business,,,
DS702,Computing and Multimedia (Level 7),,,
GA160,Business,,,
GA170,Business,,,
GA171,Business Inforion Systems,,,
GA172,Rural Enterprise and Agri-Business,,,
GA174,Marketing and Sales,,,
GA175,Finance,,,
GA176,Business with Entrepreneurship,,,
GA272,Heritage Studies,,,
GA273,Contemporary Art,,,
GA274,Design,,,
GA360,Business in Tourism,,,
GA361,Culinary Arts,,,
GA362,Hotel and Hospitality Operations,,,
GA364,Heritage Studies,,,
GA370,Hotel and Catering Management,,,
GA376,Event Management with Public Relations,,,
GA377,International Tourism Management,,,
GA378,Culinary and Gastronomic Science,,,
GA470,Construction Management,,,
GA471,Quantity Surveying and Construction Economics,,,
GA472,Architectural Technology,,,
GA473,Civil Engineering,,,
GA570,Software and Electronic Engineering,,,
GA670,Mechanical Engineering,,,
GA673,Energy Engineering,,,
GA674,Biomedical Engineering,,,
GA675,Agricultural Engineering,,,
GA676,Engineering (Common Entry to Manu/Agri/Biomed/Energy/Mech Eng),,,
GA677,Manufacturing Engineering Design,,,
GA770,Applied Freshwater and Marine Biology,,,
GA771,Applied Biology and Biopharmaceutical Science,,,
GA772,Chemical and Pharmaceutical Science,,,
GA773,Physics and Instrumentation,,,
GA774,Science (Undenominated),,,
GA775,Computing in Software Development,,,
GA776,Computing and Digital Media,,,
GA777,Agriculture and Environmental Management,,,
GA862,History & Geography,,,
GA864,Early Childhood Education and Care,,,
GA870,Outdoor Education and Leisure,,,
GA871,Early Childhood Education and Care,,,
GA872,Culture and Environment,,,
GA879,Applied Social Care,,,
GA974,"Furniture Design, Making and Technology - Common Entry",,,
GB001,Business,,,
GC250,Communications and Media Production,,,
GC305,International Hospitality Management,,,327
GC306,International Hospitality Management,,,
GC335,Computing,,,
GC410,Marketing,,,
GC411,Business,,,
GC435,Computing,,,
GC460,Music Production for Games (portfolio),,,
GC465,Communications,,,
GC466,Film and TV Production,,,
GC470,Photographic Media,,,
GC475,Photography,,,
GC490,Interior Design,,,
GC495,Fashion,,,
GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),,,330
GY112,Arts with Film Studies,,,338
GY120,"Arts (Child, Youth and Family: Policy and Practice)",,,309
GY121,Arts (Children`s Studies),,,356
GY124,Arts (Arts with Data Science),,,434
GY126,Arts (English and Media Studies),,,418
GY131,Arts (History and Globalisation Studies),,,340
LC221,Accounting and Finance,,,
LC222,Marketing and Management,,,
LC228,Sports Development and Coaching,,,
LC230,Business with Computing,,,
LC235,Internet Systems Development,,,
LC251,Civil Engineering,,,
LC257,Interior Design,,,
LC260,Applied Biology,,,
LC267,Forensic and Pharmaceutical Sciences,,,
LC268,Medical Technology,,,
LC270,Music Technology and Production,,,
LC271,Electrical Engineering,,,
LC276,Creative Broadcast and Film Production,,,
LC277,Industrial Autoion and Robotic Systems,,,
LC278,Renewable and Electrical Energy Engineering,,,
LC279,Electronic Engineering,,,
LC281,Automobile Technology,,,
LC283,Precision Engineering,,,
LC284,"Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry",,,
LC285,Mechanical Engineering,,,
LC286,Road Transport Technology and Management,,,
LC290,Community Sport Development,,,
LC336,Computing,,,
LC398,Culinary Arts,,,
LC399,Hospitality Supervision,,,
LC401,Early Childhood Education and Care,,,298
LC414,Data Analytics and Cyber Security,,,
LC415,Business,,,
LC423,Sports Strength and Conditioning,,,
LC425,Environmental Science,,,
LC428,Environmental Science and Agriculture,,,
LC432,Early Childhood Education and Care,,,
LC434,Environmental Science and Agriculture,,,278
LC504,Creative Media and Design,,,
LC602,Social Care Work,,,
LC603,Early Childhood Education and Care,,,
LC605,Business,,,
LC613,Early Childhood Education and Care,,,346
LM180,Equine Science,,,
LY107,Business - Common Entry,,,
LY206,Sports Studies,,,
LY207,Law with Criminal Justice,,,
LY317,Culinary Arts,,,
LY327,Hospitality And Tourism - Common Entry,,,
LY427,Digital Film and Video,,,
LY437,Aniion,,,
LY447,Fashion with Promotion,,,
LY457,Graphic and Digital Design,,,
LY507,Quantity Surveying,,,
LY527,Civil Engineering,,,
LY607,Electronic Engineering,,,
LY617,Mechanical Engineering,,,
LY707,Computer Games Development,,,
LY717,Computing,,,
LY737,Computer Security and Digital Forensics,,,
LY806,Pharmacy Technician,,,
LY816,Dental Nursing,,,
LY817,Bioscience,,,
LY826,Health Science with Physiotherapy Studies,,,
LY836,Health Science with Occupational Therapy Studies,,,
LY837,Food Science and Nutrition,,,
LY846,Health Science with Dietetics Studies,,,
LY847,Veterinary Nursing,,,
LY867,Pharmaceutical & Medicinal Science,,,
LY877,Agriculture,,,
LY906,"Early Childhood Care, Health and Education",,,
LY916,Health and Social Care,,,
MH405,Equine Business,,,357
NC102,Computing,,,
NC103,Business,,,
NC104,Business Computing,,,
NM701,Montessori Education,,,
PC402,Arts and Humanities,,,
PC404,Applied Social Studies - Professional Social Care,,,
SG101,Business,,,
SG102,Computing (Level 6 - General Entry),,,
SG131,Computing - Games Development,,,
SG134,Applied Sport with Business,,,
SG135,Business in Tourism with Event Management,,,
SG136,Computing - Software Development,,,
SG137,Computing (Computer Networks and Cloud Infrastructure),,,
SG138,Computing (Level 7 - General Entry),,,
SG142,Business in International Marketing and Languages (French),,,270
SG144,Business in International Marketing and Languages (Spanish),,,280
SG231,Fine Art,,,
SG232,Creative Design,,,
SG235,Performing Arts (Theatre Design),,,
SG236,Performing Arts (Acting),,,
SG250,Application Design and User Experience,,,290
SG251,Computing (Smart Technologies),,,303
SG300,Engineering (General Entry),,,
SG302,Construction Economics,,,
SG308,Applied Construction Technology,,,
SG330,Engineering (General Entry),,,
SG331,Interior Architecture and Design,,,
SG332,Advanced Wood and Sustainable Building Technology,,,
SG333,Mechanical Engineering,,,
SG334,Mechatronic Engineering,,,
SG336,Precision Engineering and Design,,,
SG338,Civil Engineering,,,
SG339,Quantity Surveying,,,
SG401,Science,,,
SG404,Environmental Science with Ecology (Level 6),,,
SG406,Health and Exercise Science,,,
SG431,Pharmaceutical Science with Drug Development,,,
SG433,Occupational Safety and Health,,,
SG434,Human Nutrition,,,
SG435,Health Science and Physiology,,,
SG436,Biomedical Science,,,
SG437,Forensic Investigation and Analysis,,,
SG439,Environmental Science with Ecology (Level 7),,,
SG530,Health and Medical Inforion Science (Online),,,
SG535,Business Administration,,,
SG536,Business,,,
SG537,Marketing and Sales,,,
TL620,Culinary Arts,,,
TL651,Science (Biological and Environmental Studies),,,
TL652,Pharmacy Technician,,,
TL701,"Aniion, Visual Effects and Motion Design (Level 7)",,,
TL702,"TV, Radio and New Media (Level 7)",,,
TL710,Computing with Software Development,,,
TL711,Computing with Games Development,,,
TL715,Computing (Degree Award options),,,
TL716,Computer Systems and Networking,,,
TL731,Business (Major Specialism in: Acctng or Mktg or Mgmnt),,,
TL743,Agricultural Mechanisation,,,
TL744,Agricultural Engineering,,,
TL745,Civil and Environmental Engineering,,,
TL747,Engineering in Mechanical and Manufacturing Engineering,,,
TL748,Agricultural Science,,,
TL755,Pharmaceutical Science (Degree Award options),,,
TL758,Animal Bioscience,,,
TL771,Health and Leisure (Degree Award Options),,,
TL772,Health and Leisure with Massage,,,
TL773,Coaching and Sports Performance,,,
TL780,Early Childhood Care and Education,,,
TL781,Social Care,,,
TR012,History and Political Science,,,532
TR017,Law and Business,,,576
TR020,Law and Political Science,,,567
TR029,Political Science and Geography,,,477
TR082,Computer Science and Business,,,510
TR083,Sociology and Social Policy,,,451
TR111,Ancient History and Archaeology/Geography,,,
TR112,Ancient History and Archaeology/History,,,
TR113,Ancient History and Archaeology/History of Art and Architecture,,,
TR114,Ancient History and Archaeology/Modern Language,,,
TR117,Ancient History and Archaeology/Religion,,,
TR166,Classical Civilisation/English Literature,,,
TR173,Classical Civilisation/History of Art and Architecture,,,
TR177,Classical Civilisation/Modern Language,,,
TR179,Classical Civilisation/Philosophy,,,
TR198,Economics/Geography,,,
TR202,Economics/History,,,
TR207,Economics/Matheics,,,
TR208,Economics/Modern Language,,,
TR209,Economics/Philosophy,,,
TR212,Economics/Sociology,,,
TR228,Classical Languages/English Literature,,,
TR231,Classical Languages/History of Art and Architecture,,,
TR233,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",,,
TR239,Classical Languages/Modern Language,,,
TR262,English Literature/History,,,
TR263,English Literature/History of Art and Architecture,,,
TR269,English Literature/Philosophy,,,
TR272,English Literature/Sociology,,,
TR276,English Literature/Drama Studies,,498,
TR277,English Literature/Modern Language,,,
TR311,Film/Drama Studies,,521,
TR312,Film/English Literature,,,
TR320,Film/Music,,,
TR322,Geography/History,,,
TR323,Drama Studies/Modern Language,,473,
TR324,Film/Modern Language,,,
TR325,Film/History,,,
TR326,Geography/Modern Language,,,
TR332,Geography/Sociology,,,
TR443,History/History of Art and Architecture,,,
TR447,History/Modern Language,,,
TR449,History/Philosophy,,,
TR452,History/Sociology,,,
TR454,History/Religion,,,
TR455,History of Art and Architecture/Modern Language,,,
TR479,History of Art and Architecture/Philosophy,,,
TR547,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",,,
TR548,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",,,
TR554,"Middle Eastern,Jewish and Islamic Civilisations/History",,,
TR563,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",,,
TR564,"Middle Eastern,Jewish and Islamic Civilisations/Music",,,
TR565,"Middle Eastern,Jewish and Islamic Civilisations/Religion",,,
TR597,Matheics/Modern Language,,,
TR598,Matheics/Music,,,
TR599,Matheics/Philosophy,,,
TR629,Music/Philosophy,,,
TR635,Music/Drama Studies,,473,
TR636,Music/Modern Language,,,
TR638,Music/Religion,,,
TR639,Philosophy/Modern Language,,,
TR662,Philosophy/Sociology,,,
TR663,Religion/Classical Civilisation,,,
TR664,Religion/English Literature,,,
TR665,Religion/History of Art and Architecture,,,
TR666,Religion/Modern Language,,,
TR667,French/Modern Language,,,
TR668,German/Modern Language,,,
TR669,Irish/Modern Language,,,
TR670,Italian/Modern Language,,,
TR671,Russian/Modern Language,,,
TR672,Spanish/Modern Language,,,
TR755,Sociology/Drama Studies,,498,
TR756,Sociology/Modern Language,,,
TR801,Dental Nursing,,,
TR802,Dental Hygiene,,543,
TR803,Dental Technology,,531,
TU601,Electronic Engineering,,,
TU602,Computer Engineering,,,
TU603,Mechanical Engineering,,,
TU641,Bar and Restaurant Management,,,
TU642,Culinary Arts,,,
TU643,Culinary Arts (Professional Cookery Practice),,,
TU644,Food Management and Entrepreneurship,,,
TU645,Food Science and Management,,,
TU651,Applied Biology,,,
TU652,Computing,,,
TU653,Computing (Inforion Technology),,,
TU654,Pharmacy Technician Studies,,,
TU655,Computing (Networking Technologies) Learn and Work,,,
TU671,Business,,,
TU672,Business (Common entry),,,
TU673,Business Management,,,
TU674,Business Studies,,,
TU675,Marketing,,,
TU676,Retail Management and Marketing,,,
TU701,Autoion Engineering,,,
TU702,Biomedical Design,,,
TU703,Building Engineering,,,
TU704,Civil Engineering,,,
TU705,Electrical and Control Engineering,,,
TU706,Electrical Services Engineering,,,
TU707,Electronic Engineering,,,
TU708,Engineering (Common Entry with Award options),,,
TU709,Engineering (General Entry),,,
TU710,Engineering Reliability Management,,,
TU711,Mechatronic Engineering,,,
TU712,Sustainable Energy and Environmental Engineering,,,
TU713,Computer Engineering,,,
TU714,Electronics and Communications Engineering,,,
TU715,Engineering Software,,,
TU716,Networking Technology,,,
TU717,Mechanical Engineering,,,
TU718,Mechanical Engineering,,,
TU719,"Design,Technology and Innovation",,,
TU720,Automotive Management and Technology,,,
TU721,Aviation Technology,,,
TU722,Process Instrumentation and Autoion Learn and Work,,,
TU731,"Auctioneering, Valuation and Estate Agency",,,
TU732,Timber Product Technology,,,
TU735,Sports Management and Coaching,,,
TU736,Sports Science and Health,,,
TU741,Baking and Pastry Arts Management,,,
TU742,Culinary Arts,,,
TU745,Hospitality Management,,,
TU746,International Hospitality and Tourism Management,,,
TU747,Tourism Management,,,
TU751,Biosciences,,,
TU752,DNA and Forensic Analysis,,,
TU754,Industrial and Environmental Physics,,,
TU755,Science (General Entry),,,
TU756,Computing,,,
TU757,Computing (Inforion Technology),,,
TU758,Digital Forensics and Cyber Security,,,
TU759,Inforion Technology Management,,,
TU760,Bioanalysis,,,
TU761,Ophthalmic Dispensing,,,
TU762,Medicinal Chemistry and Pharmaceutical Sciences,,,
